ID,óöóID,ì˙éû,ê¸åaÉ m
23995624393,24705,2021-11-23 06:05:48.647,0.11729
23995624394,24705,2021-11-23 06:05:48.667,0.11736
23995624395,24705,2021-11-23 06:05:48.687,0.11676
23995624396,24705,2021-11-23 06:05:48.717,0.11958
23995624397,24705,2021-11-23 06:05:48.727,0.11882
23995624398,24705,2021-11-23 06:05:48.747,0.11773
23995624399,24705,2021-11-23 06:05:48.767,0.11739
23995624400,24705,2021-11-23 06:05:48.787,0.11659
23995624401,24705,2021-11-23 06:05:48.807,0.11752
23995624402,24705,2021-11-23 06:05:48.827,0.11777
23995624403,24705,2021-11-23 06:05:48.847,0.11467
23995624404,24705,2021-11-23 06:05:48.867,0.11787
23995624405,24705,2021-11-23 06:05:48.887,0.12132
23995624406,24705,2021-11-23 06:05:48.907,0.11857
23995624407,24705,2021-11-23 06:05:48.927,0.11812
23995624408,24705,2021-11-23 06:05:48.947,0.12017
23995624409,24705,2021-11-23 06:05:48.967,0.11652
23995624410,24705,2021-11-23 06:05:48.987,0.11732
23995624411,24705,2021-11-23 06:05:49.020,0.11725
23995624412,24705,2021-11-23 06:05:49.027,0.11826
23995624413,24705,2021-11-23 06:05:49.047,0.1178
23995624414,24705,2021-11-23 06:05:49.067,0.11711
23995624415,24705,2021-11-23 06:05:49.087,0.11763
23995624416,24705,2021-11-23 06:05:49.107,0.11729
23995624417,24705,2021-11-23 06:05:49.127,0.11673
23995624418,24705,2021-11-23 06:05:49.147,0.11972
23995624419,24705,2021-11-23 06:05:49.170,0.11544
23995624420,24705,2021-11-23 06:05:49.187,0.11882
23995624421,24705,2021-11-23 06:05:49.207,0.11711
23995624422,24705,2021-11-23 06:05:49.227,0.11822
23995624423,24705,2021-11-23 06:05:49.247,0.11885
23995624424,24705,2021-11-23 06:05:49.267,0.1201
23995624425,24705,2021-11-23 06:05:49.287,0.11787
23995624426,24705,2021-11-23 06:05:49.307,0.11739
23995624427,24705,2021-11-23 06:05:49.327,0.11933
23995624428,24705,2021-11-23 06:05:49.347,0.1161
23995624429,24705,2021-11-23 06:05:49.367,0.11752
23995624430,24705,2021-11-23 06:05:49.387,0.11499
23995624431,24705,2021-11-23 06:05:49.407,0.11868
23995624432,24705,2021-11-23 06:05:49.427,0.11871
23995624433,24705,2021-11-23 06:05:49.447,0.11843
23995624434,24705,2021-11-23 06:05:49.473,0.11617
23995624435,24705,2021-11-23 06:05:49.487,0.11645
23995624436,24705,2021-11-23 06:05:49.507,0.1162
23995624437,24705,2021-11-23 06:05:49.523,0.11708
23995624438,24705,2021-11-23 06:05:49.547,0.11708
23995624439,24705,2021-11-23 06:05:49.567,0.11808
23995624440,24705,2021-11-23 06:05:49.587,0.11485
23995624441,24705,2021-11-23 06:05:49.603,0.11871
23995624442,24705,2021-11-23 06:05:49.623,0.11746
23995624443,24705,2021-11-23 06:05:49.647,0.11843
23995624444,24705,2021-11-23 06:05:49.667,0.11739
23995624445,24705,2021-11-23 06:05:49.683,0.11572
23995624446,24705,2021-11-23 06:05:49.707,0.11481
23995624447,24705,2021-11-23 06:05:49.723,0.11523
23995624448,24705,2021-11-23 06:05:49.747,0.11617
23995624449,24705,2021-11-23 06:05:49.773,0.11659
23995624450,24705,2021-11-23 06:05:49.787,0.12003
23995624451,24705,2021-11-23 06:05:49.807,0.11871
23995624452,24705,2021-11-23 06:05:49.823,0.11752
23995624453,24705,2021-11-23 06:05:49.843,0.11889
23995624454,24705,2021-11-23 06:05:49.867,0.12003
23995624455,24705,2021-11-23 06:05:49.883,0.11746
23995624456,24705,2021-11-23 06:05:49.907,0.11645
23995624457,24705,2021-11-23 06:05:49.927,0.12069
23995624458,24705,2021-11-23 06:05:49.947,0.12107
23995624459,24705,2021-11-23 06:05:49.967,0.11812
23995624460,24705,2021-11-23 06:05:49.987,0.11993
23995624461,24705,2021-11-23 06:05:50.003,0.11589
23995624462,24705,2021-11-23 06:05:50.027,0.1168
23995624463,24705,2021-11-23 06:05:50.043,0.11899
23995624464,24705,2021-11-23 06:05:50.077,0.11715
23995624465,24705,2021-11-23 06:05:50.083,0.11662
23995624466,24705,2021-11-23 06:05:50.107,0.11749
23995624467,24705,2021-11-23 06:05:50.127,0.11885
23995624468,24705,2021-11-23 06:05:50.143,0.11784
23995624469,24705,2021-11-23 06:05:50.167,0.11548
23995624470,24705,2021-11-23 06:05:50.183,0.11812
23995624471,24705,2021-11-23 06:05:50.207,0.11725
23995624472,24705,2021-11-23 06:05:50.227,0.11829
23995624473,24705,2021-11-23 06:05:50.247,0.11909
23995624474,24705,2021-11-23 06:05:50.267,0.11787
23995624475,24705,2021-11-23 06:05:50.287,0.1169
23995624476,24705,2021-11-23 06:05:50.307,0.11673
23995624477,24705,2021-11-23 06:05:50.327,0.11655
23995624478,24705,2021-11-23 06:05:50.347,0.11822
23995624479,24705,2021-11-23 06:05:50.377,0.11996
23995624480,24705,2021-11-23 06:05:50.387,0.12076
23995624481,24705,2021-11-23 06:05:50.407,0.11871
23995624482,24705,2021-11-23 06:05:50.427,0.11729
23995624483,24705,2021-11-23 06:05:50.447,0.11777
23995624484,24705,2021-11-23 06:05:50.467,0.11906
23995624485,24705,2021-11-23 06:05:50.487,0.11926
23995624486,24705,2021-11-23 06:05:50.507,0.1216
23995624487,24705,2021-11-23 06:05:50.530,0.11896
23995624488,24705,2021-11-23 06:05:50.547,0.11736
23995624489,24705,2021-11-23 06:05:50.563,0.11896
23995624490,24705,2021-11-23 06:05:50.587,0.11916
23995624491,24705,2021-11-23 06:05:50.607,0.11711
23995624492,24705,2021-11-23 06:05:50.623,0.11847
23995624493,24705,2021-11-23 06:05:50.647,0.11669
23995624494,24705,2021-11-23 06:05:50.667,0.11919
